PERMNO,date,TICKER,RET
13407,22/12/2020,FB,-0.020895
13407,23/12/2020,FB,0.003819
13407,24/12/2020,FB,-0.002648
13407,28/12/2020,FB,0.035901
13407,29/12/2020,FB,-0.000794
13407,30/12/2020,FB,-0.017740
13407,31/12/2020,FB,0.004745
13407,04/01/2021,FB,-0.015449
13407,05/01/2021,FB,0.007548
13407,06/01/2021,FB,-0.028269
13407,07/01/2021,FB,0.020622
13407,08/01/2021,FB,-0.004354
13407,11/01/2021,FB,-0.040102
13407,12/01/2021,FB,-0.022387
13407,13/01/2021,FB,0.002190
13407,14/01/2021,FB,-0.023844
13407,15/01/2021,FB,0.023286
13407,19/01/2021,FB,0.038749
13407,20/01/2021,FB,0.024435
13407,21/01/2021,FB,0.020151
13407,22/01/2021,FB,0.005974
13407,25/01/2021,FB,0.012787
13407,26/01/2021,FB,0.014532
13407,27/01/2021,FB,-0.035136
13407,28/01/2021,FB,-0.026237
13407,29/01/2021,FB,-0.025170
13407,01/02/2021,FB,0.014245
13407,02/02/2021,FB,0.019350
13407,03/02/2021,FB,-0.001610
13407,04/02/2021,FB,-0.000600
13407,05/02/2021,FB,0.006042
13407,08/02/2021,FB,-0.005670
13407,09/02/2021,FB,0.010766
13407,10/02/2021,FB,0.008981
13407,11/02/2021,FB,-0.005444
13407,12/02/2021,FB,0.000407
13407,16/02/2021,FB,0.012828
13407,17/02/2021,FB,-0.001460
13407,18/02/2021,FB,-0.015279
13407,19/02/2021,FB,-0.029066
13407,22/02/2021,FB,-0.004703
13407,23/02/2021,FB,0.021223
13407,24/02/2021,FB,-0.005811
13407,25/02/2021,FB,-0.036397
13407,26/02/2021,FB,0.011504
13407,01/03/2021,FB,0.028298
13407,02/03/2021,FB,-0.022309
13407,03/03/2021,FB,-0.013861
13407,04/03/2021,FB,0.008731
13407,05/03/2021,FB,0.025772
13407,08/03/2021,FB,-0.033941
13407,09/03/2021,FB,0.040852
13407,10/03/2021,FB,-0.003161
13407,11/03/2021,FB,0.033900
13407,12/03/2021,FB,-0.020009
13407,15/03/2021,FB,0.019933
13407,16/03/2021,FB,0.020201
13407,17/03/2021,FB,0.016936
13407,18/03/2021,FB,-0.018978
13407,19/03/2021,FB,0.041239
13407,22/03/2021,FB,0.011823
13407,23/03/2021,FB,-0.009913
13407,24/03/2021,FB,-0.029212
13407,25/03/2021,FB,-0.012051
13407,26/03/2021,FB,0.015355
13407,29/03/2021,FB,0.027560
13407,30/03/2021,FB,-0.009697
13407,31/03/2021,FB,0.022674
13407,01/04/2021,FB,0.014022
13407,05/04/2021,FB,0.034320
13407,06/04/2021,FB,-0.008579
13407,07/04/2021,FB,0.022301
13407,08/04/2021,FB,-0.000224
13407,09/04/2021,FB,-0.001789
13407,12/04/2021,FB,-0.002944
13407,13/04/2021,FB,-0.005714
13407,14/04/2021,FB,-0.022404
13407,15/04/2021,FB,0.016511
13407,16/04/2021,FB,-0.005328
13407,19/04/2021,FB,-0.012868
13407,20/04/2021,FB,0.001357
13407,21/04/2021,FB,-0.003899
13407,22/04/2021,FB,-0.016420
13407,23/04/2021,FB,0.015547
13407,26/04/2021,FB,0.006343
13407,27/04/2021,FB,0.001749
13407,28/04/2021,FB,0.011628
13407,29/04/2021,FB,0.072973
13407,30/04/2021,FB,-0.013444
13407,03/05/2021,FB,-0.007690
